Unnamed: 0,Cuisine,Dish Name,Ingredients,Calories,Carbs,Fat,Protein,Recipe_url
830, Chinese,Classic General Tso's Chicken,peanut oil egg sesame oil cornstarch boneless chicken thigh cut piece rice vinegar rice wine sugar soy sauce sesame oil banana ketchup peanut oil chilies onion garlic orange zest onion sesame seed,2475,53,244,29,https://www.allrecipes.com/recipe/59101/general-tsos-chicken/
831, Chinese,Moo Goo Gai Pan II,vegetable oil mushroom snow pea water chestnut bok choy salt pepper vegetable oil garlic ginger root boneless chicken breast meat wine sugar chicken broth cornstarch water,174,13,8,12,https://www.allrecipes.com/recipe/150942/moo-goo-gai-pan-ii/
832, Chinese,Spicy Chinese Chicken Wings,chicken sugar soy sauce rice wine chili garlic sauce sesame oil garlic water,702,22,43,46,https://www.allrecipes.com/recipe/104600/spicy-chinese-chicken-wings/
833, Chinese,Hunan-Style Chicken,honey peppercorn salt dark soy sauce dry sherry boneless chicken thigh cut chunk vegetable oil ginger root garlic chile pepper onion bean sauce rice vinegar sesame oil,391,10,23,33,https://www.allrecipes.com/recipe/176235/hunan-style-chicken/
834, Chinese,Stir-Fried Chicken with Tofu and Mixed Vegetables,light soy sauce sugar cornstarch rice wine onion boneless chicken breast half cut bite-size piece garlic yellow onion bell pepper firm tofu cubed water oyster sauce chili paste garlic,172,12,6,18,https://www.allrecipes.com/recipe/54492/stir-fried-chicken-with-tofu-and-mixed-vegetables/
835, Chinese,Chicken with Green Peppers in Black Bean Sauce,sesame oil garlic clove bean sauce salt boneless chicken breast half cut cube chicken bouillon water onion onion bell pepper dark soy sauce pepper cornstarch water cilantro,254,17,13,19,https://www.allrecipes.com/recipe/152220/chicken-with-green-peppers-in-black-bean-sauce/
836, Chinese,Hunan Kung Pao,boneless chicken breast half cut inch cube shrimp soy sauce rice wine sesame oil cornstarch vegetable oil garlic chile pepper cut half sichuan peppercorn bell pepper bell pepper dark soy sauce rice wine sugar peanut onion cut inch length sesame oil,790,21,52,59,https://www.allrecipes.com/recipe/167942/hunan-kung-pao/
837, Chinese,Chinese Chicken Salad,boneless chicken breast half cooked lettuce torn piece onion celery thin noodle briefly crisp walnut sesame seed,517,39,32,24,https://www.allrecipes.com/recipe/8914/chinese-chicken-salad/
838, Chinese,Avocado Chicken Stir-Fry,chicken broth soy sauce cornstarch garlic vegetable oil boneless chicken breast half cut bite size piece snow pea cremini mushroom stem cap onion cut piece ripe firm avocado cut chunk,494,37,27,33,https://www.allrecipes.com/recipe/198796/avocado-chicken-stir-fry/
839, Chinese,Deb's General Tso's Chicken,vegetable oil egg cornstarch cornstarch boneless chicken thigh cut piece,829,92,37,36,https://www.allrecipes.com/recipe/92761/debs-general-tsos-chicken/
840, Chinese,Adriel's Chinese Curry Chicken,yellow curry paste chicken broth sugar curry powder salt light soy sauce coconut milk canola oil boneless chicken breast half garlic ginger onion potato,241,24,7,20,https://www.allrecipes.com/recipe/214774/adriels-chinese-curry-chicken/
